pod_name	node_name	cpu	memory
yb-tserver-0	ip-10-0-1-78.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-1	ip-10-0-1-156.ap-east-2.compute.internal	16	32315652Ki
yb-tserver-10	ip-10-0-1-30.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-11	ip-10-0-1-130.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-12	ip-10-0-1-80.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-13	ip-10-0-1-129.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-14	ip-10-0-1-179.ap-east-2.compute.internal	16	32315652Ki
yb-tserver-15	ip-10-0-1-64.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-16	ip-10-0-1-161.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-17	ip-10-0-1-175.ap-east-2.compute.internal	16	32315652Ki
yb-tserver-18	ip-10-0-1-7.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-19	ip-10-0-1-108.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-2	ip-10-0-1-113.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-20	ip-10-0-1-50.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-21	ip-10-0-1-171.ap-east-2.compute.internal	16	32315652Ki
yb-tserver-22	ip-10-0-1-184.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-23	ip-10-0-1-252.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-24	ip-10-0-1-98.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-25	ip-10-0-1-191.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-26	ip-10-0-1-193.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-27	ip-10-0-1-9.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-28	ip-10-0-1-8.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-29	ip-10-0-1-240.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-3	ip-10-0-1-213.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-30	ip-10-0-1-61.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-31	ip-10-0-1-217.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-32	ip-10-0-1-44.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-33	ip-10-0-1-16.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-34	ip-10-0-1-48.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-35	ip-10-0-1-17.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-36	ip-10-0-1-112.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-37	ip-10-0-1-122.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-38	ip-10-0-1-49.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-39	ip-10-0-1-95.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-4	ip-10-0-1-143.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-40	ip-10-0-1-228.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-41	ip-10-0-1-248.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-42	ip-10-0-1-96.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-43	ip-10-0-1-13.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-44	ip-10-0-1-152.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-45	ip-10-0-1-174.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-46	ip-10-0-1-92.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-47	ip-10-0-1-137.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-48	ip-10-0-1-38.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-49	ip-10-0-1-111.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-5	ip-10-0-1-107.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-50	ip-10-0-1-52.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-51	ip-10-0-1-181.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-52	ip-10-0-1-31.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-53	ip-10-0-1-155.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-54	ip-10-0-1-20.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-55	ip-10-0-1-55.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-56	ip-10-0-1-253.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-6	ip-10-0-1-75.ap-east-2.compute.internal	16	32315652Ki
yb-tserver-7	ip-10-0-1-140.ap-east-2.compute.internal	16	32315652Ki
yb-tserver-8	ip-10-0-1-237.ap-east-2.compute.internal	16	32315660Ki
yb-tserver-9	ip-10-0-1-178.ap-east-2.compute.internal	16	32315660Ki
